ID,Title,Mean,Episodes,Rating,Popularity,Genres
48779,Deaimon,7.55,12,pg_13,2220,"Seinen, Slice of Life, Workplace"
5096,Doraemon Movie 28: Nobita to Midori no Kyojin Den,7.55,1,pg,6079,"Adventure, Comedy, Fantasy, Kids, Shounen"
33672,Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken,7.55,1,pg,7754,"Adventure, Comedy, Fantasy, Kids, Shounen"
11359,Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,7.55,1,pg_13,3351,"Action, Comedy, Fantasy, Sci-Fi, Shounen"
32915,Durarara!!x2 Ketsu: Dufufufu!!,7.55,1,r,3181,"Action, Mystery, Supernatural"
23251,Gugure! Kokkuri-san,7.55,12,pg_13,1410,"Comedy, Gag Humor, Shounen, Supernatural"
9065,Hakuouki: Hekketsuroku,7.55,10,r,2500,"Action, Drama, Historical, Josei, Samurai, Supernatural"
37141,Hataraku Saibou,7.55,13,pg_13,341,"Anthropomorphic, Comedy, Educational, Medical, Shounen"
6637,Higashi no Eden Movie II: Paradise Lost,7.55,1,pg_13,1714,"Adult Cast, Mystery, Psychological, Romance, Sci-Fi, Suspense"
6927,Higashi no Eden: Air Communication,7.55,1,pg_13,4159,"Adult Cast, Mystery, Psychological, Romance, Sci-Fi, Suspense"
2174,Hokuto no Ken: Raoh Gaiden Gekitou-hen,7.55,1,r,6725,"Action, Adventure, Martial Arts, Romance, Shounen"
10935,Hourou Musuko Specials,7.55,2,pg_13,6892,"Crossdressing, Drama, Romance, School, Seinen"
449,InuYasha Movie 4: Guren no Houraijima,7.55,1,pg_13,2357,"Action, Adventure, Fantasy, Historical, Mythology, Romance, Shounen, Time Travel"
62419,Jebal Joyonghi Jom Hae!,7.55,5,pg_13,11646,"Boys Love, Comedy"
51116,Kagami no Kojou,7.55,1,pg_13,3936,"Drama, Fantasy, Mystery"
1567,Kaitou Saint Tail,7.55,43,g,5027,"Adventure, Romance, Shoujo"
57217,Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,7.55,12,pg_13,2331,"Comedy, Mahou Shoujo, Romance, Shounen"
250,Konjiki no Gash Bell!!,7.55,150,pg_13,1879,"Action, Adventure, Comedy, Mythology, Shounen, Supernatural"
51815,Kubo-san wa Mob wo Yurusanai,7.55,12,pg_13,1119,"Comedy, Love Status Quo, Romance, School, Seinen"
23321,Log Horizon 2nd Season,7.55,25,pg_13,374,"Action, Adult Cast, Adventure, Fantasy, Video Game"
31953,New Game!,7.55,12,pg_13,565,"Adult Cast, CGDCT, Comedy, Otaku Culture, Workplace"
51105,NieR:Automata Ver1.1a,7.55,12,r,820,"Action, Fantasy, Sci-Fi"
18897,Nisekoi,7.55,20,pg_13,130,"Comedy, Harem, Romance, School, Shounen"
10161,No.6,7.55,11,r,553,"Action, Drama, Mystery, Sci-Fi"
584,Noein: Mou Hitori no Kimi e,7.55,24,pg_13,2386,"Adventure, Drama, Sci-Fi, Time Travel"
33091,Planetarian: Chiisana Hoshi no Yume,7.55,5,pg_13,2303,"Drama, Sci-Fi"
51297,Ragna Crimson,7.55,24,r,1024,"Action, Fantasy, Shounen"
27991,K: Return of Kings,7.54,13,pg_13,772,"Action, Super Power"
60946,Kairyuu to Yuubinyasan,7.54,1,pg,12077,"Adventure, Fantasy, Kids"
36754,Kakuriyo no Yadomeshi,7.54,26,pg_13,1389,"Adult Cast, Drama, Fantasy, Gourmet, Mythology, Romance"
22817,Kindaichi Shounen no Jikenbo Returns,7.54,25,r,5347,"Mystery, Shounen"
3466,Kino no Tabi: The Beautiful World - Tou no Kuni - Free Lance,7.54,1,pg_13,3919,"Adventure, Drama, Fantasy, Psychological"
50590,Koukyuu no Karasu,7.54,13,pg_13,2071,"Fantasy, Historical, Mystery, Mythology"
6050,Mahou Sensei Negima!: Mou Hitotsu no Sekai,7.54,4,pg_13,4806,"Action, Adventure, Ecchi, Shounen, Supernatural"
5162,Minami-ke Okaeri,7.54,13,pg_13,2901,"CGDCT, Comedy, School, Seinen"
3001,Moyashimon,7.54,11,pg_13,2749,"Adult Cast, Comedy, Gourmet, Seinen, Supernatural"
55818,Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz,7.54,1,r,1174,"Adventure, Drama, Ecchi, Fantasy, Isekai, Reincarnation"
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.54,26,pg_13,4810,"Action, Historical, Martial Arts, Samurai, Shounen"
